28.94,-0.38,24.71,27.57,37.13,38.56,33.31,36.22,22.20
27.22,39.42,23.59,32.79,28.31,2.13,35.89,19.00,6.40
16.95,2.04,30.43,11.47,16.20,12.36,21.59,23.94,29.22
15.51,1.67,31.33,11.56,17.93,12.93,21.30,23.85,31.48
33.84,7.63,6.64,17.59,27.07,38.03,33.25,18.40,24.48
28.12,0.63,24.39,28.19,37.04,37.70,33.75,37.30,20.34
26.91,38.97,23.61,34.89,27.98,-1.58,36.74,16.67,6.59
15.62,2.18,33.30,10.58,17.95,12.64,22.07,26.13,30.44
15.93,2.52,32.73,11.97,18.85,13.38,22.78,24.74,29.86
16.31,2.71,30.64,12.48,17.95,11.54,20.89,24.51,32.09
21.08,7.94,16.56,9.85,0.97,22.55,36.88,6.95,27.82
28.77,1.30,24.68,28.59,36.05,38.61,34.26,39.16,19.96
29.15,2.42,23.58,27.03,35.71,38.48,31.06,37.85,17.87
17.48,2.58,30.77,12.43,17.52,12.49,20.22,26.44,29.38
28.88,1.50,22.53,28.86,35.20,39.76,33.60,37.21,19.37
33.98,7.11,7.28,19.21,25.89,37.94,35.66,20.00,24.82
26.59,40.10,24.69,33.37,28.04,-0.79,34.92,17.68,4.31
22.42,7.58,16.88,9.76,0.67,21.96,36.37,6.23,29.19
22.36,8.46,16.97,10.39,1.16,22.25,37.05,7.04,27.18
33.36,7.66,6.35,18.65,28.48,38.75,32.86,22.16,24.80
33.56,18.53,31.45,24.39,16.29,0.80,21.64,13.65,8.03
34.71,17.64,29.51,25.77,16.26,0.47,22.67,13.19,6.33
33.03,9.26,7.54,16.77,26.39,38.78,34.57,20.01,24.12
34.10,7.73,5.84,17.01,27.42,37.59,33.82,20.24,25.18
28.40,2.96,24.17,28.37,36.42,37.92,33.87,38.38,17.87
25.96,39.06,25.70,33.98,28.38,0.43,37.43,18.29,4.84
16.53,2.03,30.97,11.59,17.21,12.39,20.40,25.71,31.45
33.17,16.68,30.28,25.27,14.64,-1.78,21.19,11.80,2.87
34.97,7.39,8.12,17.99,26.17,37.67,33.36,19.87,24.96
28.32,0.93,23.47,27.20,37.47,37.98,33.45,38.28,20.53
29.70,2.50,21.15,28.51,37.05,36.82,33.06,37.49,19.63
27.43,39.16,23.87,33.38,28.56,1.91,35.19,16.96,4.18
22.66,7.34,16.00,10.27,0.77,21.14,37.95,7.05,28.85
33.72,18.36,31.21,27.98,13.43,0.59,21.90,12.77,5.58
32.15,9.78,6.21,17.85,25.49,38.75,34.35,20.01,25.19
16.66,2.09,30.84,11.77,16.30,15.21,20.80,23.40,30.15
16.67,2.48,31.11,12.07,18.51,11.95,22.08,24.73,32.63
29.62,1.51,23.23,28.93,37.10,39.23,33.95,37.68,20.80
27.41,39.58,24.10,31.44,29.14,0.75,37.29,18.45,5.59
15.37,2.13,31.01,12.07,17.48,12.48,22.71,23.35,30.16
33.33,18.29,30.21,24.88,14.34,-0.57,22.53,11.17,6.03
28.44,1.90,22.32,28.99,34.50,39.06,33.71,38.40,19.39
32.44,18.04,29.72,26.34,12.91,0.04,21.23,12.08,5.87
29.34,0.64,22.94,27.36,38.71,39.93,32.59,39.84,20.40
27.79,39.60,25.66,33.39,27.93,0.93,35.79,20.17,5.54
21.54,7.60,14.51,9.84,2.90,21.81,35.88,7.85,29.66
15.82,2.99,31.08,12.73,15.76,12.96,20.94,22.65,30.32
27.00,1.34,24.75,28.18,35.47,38.23,31.53,37.29,20.90
26.09,38.67,23.27,34.69,26.97,0.85,36.87,19.34,4.95
23.37,7.94,16.47,9.03,1.61,23.31,37.57,6.91,27.62
34.47,7.13,7.92,19.17,27.33,39.08,33.01,20.61,24.74
33.73,6.88,7.39,17.94,26.06,38.17,33.91,18.04,25.09
29.33,0.72,22.58,26.94,35.28,38.86,34.12,37.86,19.23
16.27,2.57,29.03,11.37,18.45,11.73,20.80,24.14,29.44
28.36,38.89,24.45,32.77,29.16,2.28,35.23,17.90,4.67
16.73,2.39,32.53,9.55,18.38,13.24,21.68,26.00,28.78
33.93,8.22,6.46,18.99,26.69,36.08,33.53,19.35,25.24
28.32,40.63,24.52,31.21,28.87,0.23,36.79,18.61,3.73
20.97,7.92,14.34,8.73,0.68,21.17,37.23,7.28,29.71
32.83,8.28,6.68,18.67,25.12,39.30,31.88,20.99,25.44
17.43,2.64,32.27,11.99,17.36,13.78,21.35,23.49,31.38
28.43,37.83,24.30,33.07,28.25,2.05,36.21,16.78,4.91
21.56,7.76,15.45,9.39,0.40,20.68,37.40,6.97,26.95
21.71,8.70,15.53,10.12,1.60,25.01,37.20,6.67,28.45
22.46,7.07,16.02,8.86,0.08,20.07,37.68,7.24,26.67
28.41,1.55,23.05,27.63,37.15,38.72,33.02,37.82,21.13
27.85,38.45,24.61,31.63,28.16,0.30,36.57,17.33,4.89
23.64,6.64,15.12,9.28,0.91,21.61,36.47,7.09,28.53
34.95,8.65,8.38,16.60,26.64,37.61,33.20,19.67,25.66
15.49,2.06,32.00,10.31,16.54,14.10,21.05,25.50,31.63
23.22,8.47,17.21,10.71,0.46,24.22,36.42,7.86,28.96
33.55,18.14,30.40,26.54,14.38,1.19,19.67,13.07,7.26
21.54,8.06,16.89,10.08,0.13,22.92,37.07,7.89,28.16
33.46,8.32,5.76,18.12,26.91,37.23,32.79,20.13,25.14
27.97,37.94,24.81,33.18,26.56,1.93,34.72,19.15,5.09
28.87,-2.79,21.89,27.27,35.42,39.14,33.59,37.90,20.77
33.19,16.90,29.93,25.28,13.97,1.69,22.40,14.66,7.95
34.18,19.08,30.82,24.14,14.25,0.02,21.13,13.10,6.02
29.14,38.51,22.51,33.31,26.79,1.73,35.83,19.15,5.96
15.89,2.99,31.20,9.54,17.77,11.63,20.57,24.76,31.10
33.70,17.36,30.87,23.84,13.94,-0.55,22.59,12.61,8.09
23.48,6.29,14.19,8.32,0.67,23.59,36.95,7.04,27.06
16.44,1.17,31.47,12.21,15.89,12.92,22.70,26.54,32.01
34.10,16.65,30.48,24.99,14.07,1.32,21.01,12.05,4.19
33.88,17.74,30.61,24.76,15.45,0.33,22.11,12.98,6.16
28.68,1.36,24.11,25.93,36.95,40.18,34.04,38.57,21.45
15.67,4.11,31.01,12.22,18.60,11.87,22.60,24.81,30.64
33.75,17.17,30.65,25.80,14.93,0.32,21.80,14.59,5.75
28.12,1.09,24.84,28.37,35.24,38.96,33.41,38.99,19.88
32.58,16.77,29.09,27.00,13.33,1.47,22.39,14.13,5.34
29.30,1.75,24.34,27.02,35.19,38.60,34.74,38.10,20.74
29.09,3.08,21.31,28.26,35.67,39.49,33.97,37.47,18.42
20.82,7.10,17.73,7.57,2.55,23.67,34.31,6.25,28.91
34.19,17.96,29.35,27.20,15.31,-0.61,20.74,11.28,6.90
22.56,7.50,16.55,10.81,0.72,24.19,34.99,6.81,28.59
28.11,1.91,23.55,27.82,35.65,40.04,32.98,37.35,20.01
33.32,16.68,30.29,27.17,14.85,0.91,23.21,12.64,5.97
27.70,40.55,23.53,31.51,28.05,1.09,36.15,18.40,4.97
22.19,7.61,17.60,10.29,1.96,23.07,35.85,9.17,27.09
30.48,2.47,23.29,27.04,37.50,39.63,33.47,35.53,21.27
27.16,38.71,22.67,33.01,29.50,0.82,33.20,18.21,4.40
22.07,7.29,16.19,8.86,1.13,23.63,35.82,7.96,27.94
21.70,8.35,17.52,9.16,0.04,23.07,36.47,6.80,27.97
22.44,5.44,14.66,11.50,0.66,22.55,36.76,7.74,27.75
22.76,7.28,15.17,9.55,1.48,21.79,36.76,9.56,28.22
34.94,17.51,31.23,24.74,13.95,1.37,21.46,14.45,5.79
26.54,38.69,24.38,31.27,26.58,0.84,36.20,18.11,4.24
16.16,2.73,30.41,10.93,18.04,12.59,21.72,25.35,32.74
32.42,17.15,32.25,24.42,14.43,-0.33,21.96,12.56,6.59
30.41,1.70,23.08,27.31,36.31,38.68,33.26,37.09,20.91
21.82,7.60,16.39,9.29,2.26,24.33,36.53,8.20,28.82
16.95,0.97,31.57,12.05,19.57,13.44,20.53,27.40,29.36
36.08,8.78,6.84,19.16,26.07,38.23,34.41,20.00,26.20
23.27,6.22,14.69,10.38,1.51,22.86,37.40,8.15,26.84
32.91,8.28,7.57,20.03,27.97,37.54,33.01,19.73,26.00
27.81,38.92,23.67,32.69,29.46,2.05,36.24,18.35,4.93
31.86,18.79,29.12,25.04,12.53,-0.39,20.45,11.13,7.76
15.95,5.65,31.90,11.72,18.33,11.94,20.74,26.58,31.24
22.26,7.41,17.19,8.91,1.85,22.80,36.80,4.47,28.30
21.79,5.88,17.11,9.83,1.76,22.23,36.70,5.78,28.25
15.89,2.49,33.18,12.59,18.61,12.19,20.97,23.55,31.93
26.43,39.43,24.77,30.93,27.84,4.41,34.80,15.89,3.65
33.52,16.14,29.56,25.40,13.47,2.06,21.13,12.32,5.58
27.55,38.66,24.86,32.97,28.15,2.38,37.19,18.95,3.54
31.65,18.92,28.78,25.30,14.17,1.17,22.58,11.78,5.35
27.43,39.43,26.26,32.13,27.37,2.17,35.25,18.06,4.23
34.01,7.41,6.83,17.40,28.43,39.11,33.15,19.94,25.37
28.22,39.90,25.52,33.46,26.18,0.89,36.55,19.05,4.59
35.44,18.31,32.27,25.76,13.17,-0.62,20.39,12.15,5.80
16.17,2.06,31.87,11.34,18.89,11.83,22.01,27.09,30.81
20.29,6.95,16.78,9.12,0.72,23.42,36.20,6.36,27.95
34.31,6.73,5.83,16.49,24.94,39.38,34.57,19.51,24.51
21.24,7.57,15.39,9.19,1.48,22.57,36.04,5.71,26.87
25.05,39.73,23.51,31.34,26.63,0.16,35.73,18.75,4.50
28.38,-0.04,23.37,27.57,35.59,39.67,32.82,38.40,20.63
22.35,6.77,15.74,11.04,3.36,23.49,37.59,9.47,27.78
27.91,2.95,23.93,28.31,35.91,40.44,36.39,37.66,21.00
33.97,17.70,28.84,25.44,14.43,1.24,23.36,11.24,6.20
28.24,41.58,22.59,32.58,26.67,2.80,35.75,17.31,5.88
15.85,3.22,30.09,9.77,17.71,10.63,21.94,24.95,30.05
28.18,40.16,23.89,32.82,28.39,0.96,36.74,19.44,5.33
33.34,18.02,30.90,25.15,14.78,-0.15,20.47,11.93,6.23
32.01,17.46,29.82,27.10,14.46,2.90,21.36,14.46,5.21
21.70,7.25,16.62,10.49,0.86,21.94,38.17,5.76,27.47
17.65,1.43,30.79,11.82,18.18,12.46,21.22,25.06,31.96
32.90,9.84,8.11,18.48,27.55,37.20,32.69,20.50,25.38
29.09,38.01,23.96,33.36,28.87,0.85,35.97,18.95,5.15
22.56,9.18,18.09,10.20,1.11,24.98,34.72,6.79,27.99
32.74,9.35,7.53,19.04,26.62,38.53,33.20,19.81,25.53
32.66,6.53,7.58,18.19,26.57,39.36,33.21,22.91,24.65
33.21,18.15,32.30,23.82,15.09,0.24,21.53,13.65,7.21
28.05,40.91,24.75,32.98,28.80,0.53,35.23,16.05,5.44
27.25,39.56,23.93,32.01,26.41,0.44,37.06,18.05,3.86
34.54,7.53,7.24,16.91,26.55,38.52,33.40,19.86,26.22
26.28,39.05,24.25,33.45,30.59,0.84,37.78,16.20,5.60
26.24,39.06,25.46,32.86,28.76,1.60,35.53,16.68,5.94
